ID;CoordXInicio;CoordYInicio;CoordZInicio;CoordXFin;CoordYFin;CoordZFin
93;689765,9925;5830264,386;567,6;689770,0505;5830287,935;564,9
94;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
95;689776,8345;5830219,227;579,1;689770,0091;5830236,091;571,5
96;689770,0091;5830236,091;571,5;689767,663;5830295,945;569,3
97;689810,5042;5830196,711;581,6;689805,8426;5830228,357;574,7
98;689810,5042;5830196,711;581,6;689811,5739;5830210,551;577,5
99;689811,5739;5830210,551;577,5;689818,0809;5830235,809;575,1
100;689810,5042;5830196,711;581,6;689819,5382;5830208,311;578,4
101;689810,5042;5830196,711;581,6;689811,5739;5830210,551;577,5
102;689811,5739;5830210,551;577,5;689818,0809;5830235,809;575,1
103;689818,0809;5830235,809;575,1;689822,6277;5830245,156;573,4
104;689810,5042;5830196,711;581,6;689805,8426;5830228,357;574,7
105;689805,8426;5830228,357;574,7;689810,1994;5830244;575,2
106;689808,4618;5830178,952;584,6;689839,1207;5830163,409;587,5
107;689808,4618;5830178,952;584,6;689833,135;5830178,356;583
108;689808,4618;5830178,952;584,6;689843,4943;5830175,939;581,6
109;689808,4618;5830178,952;584,6;689846,1375;5830176,845;579,5
110;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
111;689776,8345;5830219,227;579,1;689770,0091;5830236,091;571,5
112;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
113;689776,8345;5830219,227;579,1;689770,0091;5830236,091;571,5
114;689770,0091;5830236,091;571,5;689765,0821;5830310,143;562,6
115;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
116;689776,8345;5830219,227;579,1;689770,0091;5830236,091;571,5
117;689770,0091;5830236,091;571,5;689761,209;5830320,344;561,3
118;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
119;689776,8345;5830219,227;579,1;689770,0091;5830236,091;571,5
120;689770,0091;5830236,091;571,5;689764,4117;5830324,856;560,5
121;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
122;689776,8345;5830219,227;579,1;689770,0091;5830236,091;571,5
123;689770,0091;5830236,091;571,5;689765,0821;5830310,143;562,6
124;689765,0821;5830310,143;562,6;689767,7236;5830327,741;560,5
125;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
126;689776,8345;5830219,227;579,1;689770,0091;5830236,091;571,5
127;689770,0091;5830236,091;571,5;689765,0821;5830310,143;562,6
128;689765,0821;5830310,143;562,6;689764,9033;5830331,469;560,5
129;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
130;689776,8345;5830219,227;579,1;689781,0464;5830240,79;575,8
131;689781,0464;5830240,79;575,8;689779,2072;5830282,612;566,7
132;689779,2072;5830282,612;566,7;689778,269;5830310,733;560,2
133;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
134;689776,8345;5830219,227;579,1;689781,0464;5830240,79;575,8
135;689781,0464;5830240,79;575,8;689779,2072;5830282,612;566,7
136;689779,2072;5830282,612;566,7;689778,269;5830310,733;560,2
137;689778,269;5830310,733;560,2;689778,9137;5830318,246;560,5
138;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
139;689776,8345;5830219,227;579,1;689781,0464;5830240,79;575,8
140;689781,0464;5830240,79;575,8;689779,2072;5830282,612;566,7
141;689779,2072;5830282,612;566,7;689778,269;5830310,733;560,2
142;689778,269;5830310,733;560,2;689774,5327;5830328,242;561,7
143;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
144;689776,8345;5830219,227;579,1;689781,0464;5830240,79;575,8
145;689781,0464;5830240,79;575,8;689779,2072;5830282,612;566,7
146;689779,2072;5830282,612;566,7;689778,269;5830310,733;560,2
147;689778,269;5830310,733;560,2;689773,9138;5830325,428;563,7
148;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
149;689776,8345;5830219,227;579,1;689781,0464;5830240,79;575,8
150;689781,0464;5830240,79;575,8;689779,2072;5830282,612;566,7
151;689779,2072;5830282,612;566,7;689778,269;5830310,733;560,2
152;689778,269;5830310,733;560,2;689778,9137;5830318,246;560,5
153;689778,9137;5830318,246;560,5;689785,4633;5830340,977;562,9
154;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
155;689776,8345;5830219,227;579,1;689781,0464;5830240,79;575,8
156;689781,0464;5830240,79;575,8;689779,2072;5830282,612;566,7
157;689779,2072;5830282,612;566,7;689778,269;5830310,733;560,2
158;689778,269;5830310,733;560,2;689778,9137;5830318,246;560,5
159;689778,9137;5830318,246;560,5;689784,0652;5830351,791;563,9
160;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
161;689776,8345;5830219,227;579,1;689770,0091;5830236,091;571,5
162;689770,0091;5830236,091;571,5;689765,0821;5830310,143;562,6
163;689765,0821;5830310,143;562,6;689764,9033;5830331,469;560,5
164;689764,9033;5830331,469;560,5;689766,2948;5830355,912;564,3
165;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
166;689776,8345;5830219,227;579,1;689781,0464;5830240,79;575,8
167;689781,0464;5830240,79;575,8;689779,2072;5830282,612;566,7
168;689779,2072;5830282,612;566,7;689778,269;5830310,733;560,2
169;689778,269;5830310,733;560,2;689772,3679;5830326,106;565,3
170;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
171;689776,8345;5830219,227;579,1;689781,0464;5830240,79;575,8
172;689781,0464;5830240,79;575,8;689779,2072;5830282,612;566,7
173;689779,2072;5830282,612;566,7;689778,269;5830310,733;560,2
174;689778,269;5830310,733;560,2;689773,9138;5830325,428;563,7
175;689773,9138;5830325,428;563,7;689768,5434;5830344,617;568,4
176;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
177;689776,8345;5830219,227;579,1;689770,0091;5830236,091;571,5
178;689770,0091;5830236,091;571,5;689764,4117;5830324,856;560,5
179;689764,4117;5830324,856;560,5;689762,7243;5830368,031;565,7
180;689778,2091;5830202,505;580,8;689781,8435;5830228,37;580,4
181;689781,8435;5830228,37;580,4;689793,4437;5830255,055;576
182;689810,5042;5830196,711;581,6;689805,8426;5830228,357;574,7
183;689805,8426;5830228,357;574,7;689812,3636;5830252,913;573,2
184;689810,5042;5830196,711;581,6;689811,5739;5830210,551;577,5
185;689811,5739;5830210,551;577,5;689816,452;5830255,636;572,2
186;689810,5042;5830196,711;581,6;689823,4928;5830218,126;575,9
187;689810,5042;5830196,711;581,6;689811,5739;5830210,551;577,5
188;689811,5739;5830210,551;577,5;689823,0407;5830236,499;573,7
189;689810,5042;5830196,711;581,6;689811,5739;5830210,551;577,5
190;689811,5739;5830210,551;577,5;689816,452;5830255,636;572,2
191;689816,452;5830255,636;572,2;689821,0432;5830269,109;570,5
192;689810,5042;5830196,711;581,6;689805,8426;5830228,357;574,7
193;689805,8426;5830228,357;574,7;689812,3636;5830252,913;573,2
194;689812,3636;5830252,913;573,2;689812,4307;5830272,95;571
195;689810,5042;5830196,711;581,6;689811,5739;5830210,551;577,5
196;689811,5739;5830210,551;577,5;689818,0809;5830235,809;575,1
197;689818,0809;5830235,809;575,1;689823,8799;5830274,787;568,2
198;689790,642;5830199,864;582,7;689799,3561;5830220,605;580
199;689799,3561;5830220,605;580;689799,3591;5830237,233;577,2
200;689799,3591;5830237,233;577,2;689799,4694;5830256,998;572,7
201;689799,4694;5830256,998;572,7;689806,389;5830281,194;570,3
202;689778,2091;5830202,505;580,8;689781,8435;5830228,37;580,4
203;689781,8435;5830228,37;580,4;689793,4437;5830255,055;576
204;689793,4437;5830255,055;576;689807,4769;5830296,059;567,7
205;689810,5042;5830196,711;581,6;689811,5739;5830210,551;577,5
206;689811,5739;5830210,551;577,5;689818,0809;5830235,809;575,1
207;689818,0809;5830235,809;575,1;689823,8799;5830274,787;568,2
208;689823,8799;5830274,787;568,2;689817,0596;5830292,833;566,5
209;689810,5042;5830196,711;581,6;689811,5739;5830210,551;577,5
210;689811,5739;5830210,551;577,5;689818,0809;5830235,809;575,1
211;689818,0809;5830235,809;575,1;689823,8799;5830274,787;568,2
212;689823,8799;5830274,787;568,2;689817,0596;5830292,833;566,5
213;689817,0596;5830292,833;566,5;689823,0726;5830293,299;564,9
214;689810,5042;5830196,711;581,6;689811,5739;5830210,551;577,5
215;689811,5739;5830210,551;577,5;689818,0809;5830235,809;575,1
216;689818,0809;5830235,809;575,1;689823,8799;5830274,787;568,2
217;689823,8799;5830274,787;568,2;689817,0596;5830292,833;566,5
218;689817,0596;5830292,833;566,5;689822,315;5830300,247;564,4
219;689810,5042;5830196,711;581,6;689811,5739;5830210,551;577,5
220;689811,5739;5830210,551;577,5;689818,0809;5830235,809;575,1
221;689818,0809;5830235,809;575,1;689823,8799;5830274,787;568,2
222;689823,8799;5830274,787;568,2;689817,0596;5830292,833;566,5
223;689817,0596;5830292,833;566,5;689822,2018;5830300,583;564,5
224;689810,5042;5830196,711;581,6;689811,5739;5830210,551;577,5
225;689811,5739;5830210,551;577,5;689818,0809;5830235,809;575,1
226;689818,0809;5830235,809;575,1;689823,8799;5830274,787;568,2
227;689823,8799;5830274,787;568,2;689817,0596;5830292,833;566,5
228;689817,0596;5830292,833;566,5;689820,1771;5830305,825;563,2
229;689790,642;5830199,864;582,7;689799,3561;5830220,605;580
230;689799,3561;5830220,605;580;689799,3591;5830237,233;577,2
231;689799,3591;5830237,233;577,2;689799,4694;5830256,998;572,7
232;689799,4694;5830256,998;572,7;689806,389;5830281,194;570,3
233;689806,389;5830281,194;570,3;689815,9875;5830308,116;563,2
234;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
235;689776,8345;5830219,227;579,1;689781,0464;5830240,79;575,8
236;689781,0464;5830240,79;575,8;689798,6363;5830299,042;566,3
237;689810,5042;5830196,711;581,6;689811,5739;5830210,551;577,5
238;689811,5739;5830210,551;577,5;689818,0809;5830235,809;575,1
239;689818,0809;5830235,809;575,1;689822,6277;5830245,156;573,4
240;689822,6277;5830245,156;573,4;689818,4818;5830310,186;562,8
241;689810,5042;5830196,711;581,6;689805,8426;5830228,357;574,7
242;689805,8426;5830228,357;574,7;689812,3636;5830252,913;573,2
243;689812,3636;5830252,913;573,2;689812,4307;5830272,95;571
244;689812,4307;5830272,95;571;689817,837;5830319,972;561
245;689810,5042;5830196,711;581,6;689811,5739;5830210,551;577,5
246;689811,5739;5830210,551;577,5;689818,0809;5830235,809;575,1
247;689818,0809;5830235,809;575,1;689822,6277;5830245,156;573,4
248;689822,6277;5830245,156;573,4;689818,4818;5830310,186;562,8
249;689818,4818;5830310,186;562,8;689822,1447;5830329,439;558,7
250;689810,5042;5830196,711;581,6;689811,5739;5830210,551;577,5
251;689811,5739;5830210,551;577,5;689818,0809;5830235,809;575,1
252;689818,0809;5830235,809;575,1;689822,6277;5830245,156;573,4
253;689822,6277;5830245,156;573,4;689818,4818;5830310,186;562,8
254;689818,4818;5830310,186;562,8;689824,1554;5830334,354;557,5
255;689810,5042;5830196,711;581,6;689811,5739;5830210,551;577,5
256;689811,5739;5830210,551;577,5;689816,452;5830255,636;572,2
257;689816,452;5830255,636;572,2;689821,0432;5830269,109;570,5
258;689821,0432;5830269,109;570,5;689825,9422;5830339,057;556,8
