ID;DistanciaMinimaDijkstra;NodoInicioOptimoDijkstra;CaminoOptimoDijkstra;DistanciaMinimaAStar;NodoInicioOptimoAStar;CaminoOptimoAStar;DistanciaMinimaBellmanFord;NodoInicioOptimoBellmanFord;CaminoOptimoBellmanFord
0;34,547960244722546;48;48->0;34,547960244722546;48;48->0;34,547960244722546;48;48->0
1;37,156838823322225;48;48->1;37,156838823322225;48;48->1;37,156838823322225;48;48->1
2;41,86261168151959;48;48->2;41,86261168151959;48;48->2;41,86261168151959;48;48->2
3;55,6687189120838;48;48->3;55,6687189120838;48;48->3;55,6687189120838;48;48->3
4;58,78250831126347;48;48->2->4;58,78250831126347;48;48->2->4;58,78250831126347;48;48->2->4
5;63,87696351656788;48;48->2->5;63,87696351656788;48;48->2->5;63,87696351656788;48;48->2->5
6;73,22606967957388;48;48->2->6;73,22606967957388;48;48->2->6;73,22606967957388;48;48->2->6
7;76,53911006694034;48;48->2->7;76,53911006694034;48;48->2->7;76,53911006694034;48;48->2->7
8;79,6445434291518;48;48->2->8;79,6445434291518;48;48->2->8;79,6445434291518;48;48->2->8
9;32,58020555251484;48;48->9;32,58020555251484;48;48->9;32,58020555251484;48;48->9
10;38,61442121121227;48;48->10;38,61442121121227;48;48->10;38,61442121121227;48;48->10
11;95,82354599990583;48;48->10->11;95,82354599990583;48;48->10->11;95,82354599990583;48;48->10->11
12;129,60178680612827;48;48->10->12;129,60178680612827;48;48->10->12;129,60178680612827;48;48->10->12
13;136,96818746354762;48;48->10->13;136,96818746354762;48;48->10->13;136,96818746354762;48;48->10->13
14;30,733155241583013;49;49->14;30,733155241583013;49;49->14;30,733155241583013;49;49->14
15;38,24680539774602;49;49->15;38,24680539774602;49;49->15;38,24680539774602;49;49->15
16;41,84171862879662;49;49->16;41,84171862879662;49;49->16;41,84171862879662;49;49->16
17;44,79482008906771;49;49->17;44,79482008906771;49;49->17;44,79482008906771;49;49->17
18;80,11052269447018;49;49->17->18;80,11052269447018;49;49->17->18;80,11052269447018;49;49->17->18
19;95,79007497081244;49;49->17->19;95,79007497081244;49;49->17->19;95,79007497081244;49;49->17->19
20;110,59394479885322;49;49->17->20;110,59394479885322;49;49->17->20;110,59394479885322;49;49->17->20
21;129,7446113883581;49;49->17->19->21;129,7446113883581;49;49->17->19->21;129,7446113883581;49;49->17->19->21
22;134,12879302110773;49;49->17->20->22;134,12879302110773;49;49->17->20->22;134,12879302110773;49;49->17->20->22
23;153,51898579666596;48;48->10->11->23;153,51898579666596;48;48->10->11->23;153,51898579666596;48;48->10->11->23
24;157,9835714971876;48;48->10->11->24;157,9835714971876;48;48->10->11->24;157,9835714971876;48;48->10->11->24
25;159,93717276585107;48;48->10->11->25;159,93717276585107;48;48->10->11->25;159,93717276585107;48;48->10->11->25
26;33,436520297110874;51;51->26;33,436520297110874;51;51->26;33,436520297110874;51;51->26
27;40,14781990005896;51;51->27;40,14781990005896;51;51->27;40,14781990005896;51;51->27
28;42,53192458935462;51;51->28;42,53192458935462;51;51->28;42,53192458935462;51;51->28
29;46,48293953395085;51;51->29;46,48293953395085;51;51->29;46,48293953395085;51;51->29
30;48,7409492072746;51;51->29->30;48,7409492072746;51;51->29->30;48,7409492072746;51;51->29->30
31;65,06832111679437;51;51->29->31;65,06832111679437;51;51->29->31;65,06832111679437;51;51->29->31
32;63,181158161528785;51;51->29->32;63,181158161528785;51;51->29->32;63,181158161528785;51;51->29->32
33;75,5183079826718;51;51->29->33;75,5183079826718;51;51->29->33;75,5183079826718;51;51->29->33
34;80,90969926671087;51;51->29->34;80,90969926671087;51;51->29->34;80,90969926671087;51;51->29->34
35;108,83900974482658;49;49->17->35;108,83900974482658;49;49->17->35;108,83900974482658;49;49->17->35
36;114,31506709010739;49;49->17->35->36;114,31506709010739;49;49->17->35->36;114,31506709010739;49;49->17->35->36
37;121,37138646525247;49;49->17->35->37;121,37138646525247;49;49->17->35->37;121,37138646525247;49;49->17->35->37
38;127,94011231477123;49;49->17->35->38;127,94011231477123;49;49->17->35->38;127,94011231477123;49;49->17->35->38
39;133,19867704910283;49;49->17->35->39;133,19867704910283;49;49->17->35->39;133,19867704910283;49;49->17->35->39
40;134,72615423323523;49;49->17->35->40;134,72615423323523;49;49->17->35->40;134,72615423323523;49;49->17->35->40
41;131,04402814859034;49;49->17->18->41;131,04402814859034;49;49->17->18->41;131,04402814859034;49;49->17->18->41
42;23,50194040561406;52;52->42;23,50194040561406;52;52->42;23,50194040561406;52;52->42
43;23,491382065220282;52;52->43;23,491382065220282;52;52->43;23,491382065220282;52;52->43
44;22,568257881439564;52;52->44;22,568257881439564;52;52->44;22,568257881439564;52;52->44
45;21,160492798733035;52;52->45;21,160492798733035;52;52->45;21,160492798733035;52;52->45
46;23,602169075663994;52;52->46;23,602169075663994;52;52->46;23,602169075663994;52;52->46
47;29,507355490241356;52;52->47;29,507355490241356;52;52->47;29,507355490241356;52;52->47
