ID;CoordXInicio;CoordYInicio;CoordZInicio;CoordXFin;CoordYFin;CoordZFin
0;689765,1601;5830212,341;573,8;689764,3563;5830220,547;573,1
1;689765,1601;5830212,341;573,8;689766,8275;5830229,341;573,4
2;689765,1601;5830212,341;573,8;689765,2037;5830238,205;572,7
3;689765,1601;5830212,341;573,8;689771,4044;5830211,734;577,9
4;689765,1601;5830212,341;573,8;689776,8345;5830219,227;579,1
5;689765,1601;5830212,341;573,8;689775,6647;5830228,986;579,1
6;689765,1601;5830212,341;573,8;689772,4495;5830239,237;578,3
7;689765,1601;5830212,341;573,8;689770,0091;5830236,091;571,5
8;689764,3563;5830220,547;573,1;689765,1601;5830212,341;573,8
9;689764,3563;5830220,547;573,1;689766,8275;5830229,341;573,4
10;689764,3563;5830220,547;573,1;689765,2037;5830238,205;572,7
11;689764,3563;5830220,547;573,1;689771,4044;5830211,734;577,9
12;689764,3563;5830220,547;573,1;689776,8345;5830219,227;579,1
13;689764,3563;5830220,547;573,1;689775,6647;5830228,986;579,1
14;689764,3563;5830220,547;573,1;689772,4495;5830239,237;578,3
15;689764,3563;5830220,547;573,1;689770,0091;5830236,091;571,5
16;689766,8275;5830229,341;573,4;689765,1601;5830212,341;573,8
17;689766,8275;5830229,341;573,4;689764,3563;5830220,547;573,1
18;689766,8275;5830229,341;573,4;689765,2037;5830238,205;572,7
19;689766,8275;5830229,341;573,4;689771,4044;5830211,734;577,9
20;689766,8275;5830229,341;573,4;689776,8345;5830219,227;579,1
21;689766,8275;5830229,341;573,4;689775,6647;5830228,986;579,1
22;689766,8275;5830229,341;573,4;689772,4495;5830239,237;578,3
23;689766,8275;5830229,341;573,4;689770,0091;5830236,091;571,5
24;689765,2037;5830238,205;572,7;689765,1601;5830212,341;573,8
25;689765,2037;5830238,205;572,7;689764,3563;5830220,547;573,1
26;689765,2037;5830238,205;572,7;689766,8275;5830229,341;573,4
27;689765,2037;5830238,205;572,7;689771,4044;5830211,734;577,9
28;689765,2037;5830238,205;572,7;689776,8345;5830219,227;579,1
29;689765,2037;5830238,205;572,7;689775,6647;5830228,986;579,1
30;689765,2037;5830238,205;572,7;689772,4495;5830239,237;578,3
31;689765,2037;5830238,205;572,7;689781,8435;5830228,37;580,4
32;689771,4044;5830211,734;577,9;689765,1601;5830212,341;573,8
33;689771,4044;5830211,734;577,9;689764,3563;5830220,547;573,1
34;689771,4044;5830211,734;577,9;689766,8275;5830229,341;573,4
35;689771,4044;5830211,734;577,9;689765,2037;5830238,205;572,7
36;689771,4044;5830211,734;577,9;689776,8345;5830219,227;579,1
37;689771,4044;5830211,734;577,9;689775,6647;5830228,986;579,1
38;689771,4044;5830211,734;577,9;689772,4495;5830239,237;578,3
39;689771,4044;5830211,734;577,9;689770,0091;5830236,091;571,5
40;689776,8345;5830219,227;579,1;689765,1601;5830212,341;573,8
41;689776,8345;5830219,227;579,1;689764,3563;5830220,547;573,1
42;689776,8345;5830219,227;579,1;689766,8275;5830229,341;573,4
43;689776,8345;5830219,227;579,1;689765,2037;5830238,205;572,7
44;689776,8345;5830219,227;579,1;689771,4044;5830211,734;577,9
45;689776,8345;5830219,227;579,1;689775,6647;5830228,986;579,1
46;689776,8345;5830219,227;579,1;689772,4495;5830239,237;578,3
47;689776,8345;5830219,227;579,1;689770,0091;5830236,091;571,5
48;689775,6647;5830228,986;579,1;689765,1601;5830212,341;573,8
49;689775,6647;5830228,986;579,1;689764,3563;5830220,547;573,1
50;689775,6647;5830228,986;579,1;689766,8275;5830229,341;573,4
51;689775,6647;5830228,986;579,1;689765,2037;5830238,205;572,7
52;689775,6647;5830228,986;579,1;689771,4044;5830211,734;577,9
53;689775,6647;5830228,986;579,1;689776,8345;5830219,227;579,1
54;689775,6647;5830228,986;579,1;689772,4495;5830239,237;578,3
55;689775,6647;5830228,986;579,1;689781,8435;5830228,37;580,4
56;689772,4495;5830239,237;578,3;689765,1601;5830212,341;573,8
57;689772,4495;5830239,237;578,3;689764,3563;5830220,547;573,1
58;689772,4495;5830239,237;578,3;689766,8275;5830229,341;573,4
59;689772,4495;5830239,237;578,3;689770,0091;5830236,091;571,5
60;689772,4495;5830239,237;578,3;689771,4044;5830211,734;577,9
61;689772,4495;5830239,237;578,3;689776,8345;5830219,227;579,1
62;689772,4495;5830239,237;578,3;689775,6647;5830228,986;579,1
63;689772,4495;5830239,237;578,3;689781,8435;5830228,37;580,4
64;689781,8435;5830228,37;580,4;689770,0091;5830236,091;571,5
65;689781,8435;5830228,37;580,4;689764,3563;5830220,547;573,1
66;689781,8435;5830228,37;580,4;689796,0275;5830232,142;578,8
67;689781,8435;5830228,37;580,4;689765,2037;5830238,205;572,7
68;689781,8435;5830228,37;580,4;689771,4044;5830211,734;577,9
69;689781,8435;5830228,37;580,4;689776,8345;5830219,227;579,1
70;689781,8435;5830228,37;580,4;689775,6647;5830228,986;579,1
71;689781,8435;5830228,37;580,4;689772,4495;5830239,237;578,3
72;689780,8092;5830246,877;577,7;689776,0166;5830255,051;574,8
73;689780,8092;5830246,877;577,7;689799,4694;5830256,998;572,7
74;689780,8092;5830246,877;577,7;689766,8275;5830229,341;573,4
75;689780,8092;5830246,877;577,7;689764,4516;5830250,05;575,3
76;689780,8092;5830246,877;577,7;689794,8241;5830252,281;573,9
77;689780,8092;5830246,877;577,7;689776,8345;5830219,227;579,1
78;689780,8092;5830246,877;577,7;689775,6647;5830228,986;579,1
79;689780,8092;5830246,877;577,7;689781,0464;5830240,79;575,8
80;689768,579;5830248,047;576,7;689799,4694;5830256,998;572,7
81;689768,579;5830248,047;576,7;689764,3563;5830220,547;573,1
82;689768,579;5830248,047;576,7;689766,8275;5830229,341;573,4
83;689768,579;5830248,047;576,7;689764,4516;5830250,05;575,3
84;689768,579;5830248,047;576,7;689765,7987;5830257,133;568,5
85;689768,579;5830248,047;576,7;689776,8345;5830219,227;579,1
86;689768,579;5830248,047;576,7;689775,6647;5830228,986;579,1
87;689768,579;5830248,047;576,7;689772,4495;5830239,237;578,3
88;689799,0441;5830207,588;581;689811,5739;5830210,551;577,5
89;689799,0441;5830207,588;581;689799,3591;5830237,233;577,2
90;689799,0441;5830207,588;581;689799,3561;5830220,605;580
91;689799,0441;5830207,588;581;689765,2037;5830238,205;572,7
92;689799,0441;5830207,588;581;689771,4044;5830211,734;577,9
93;689799,0441;5830207,588;581;689819,5382;5830208,311;578,4
94;689799,0441;5830207,588;581;689796,0275;5830232,142;578,8
95;689799,0441;5830207,588;581;689772,4495;5830239,237;578,3
96;689799,3561;5830220,605;580;689799,0441;5830207,588;581
97;689799,3561;5830220,605;580;689796,0275;5830232,142;578,8
98;689799,3561;5830220,605;580;689811,5739;5830210,551;577,5
99;689799,3561;5830220,605;580;689805,8426;5830228,357;574,7
100;689799,3561;5830220,605;580;689771,4044;5830211,734;577,9
101;689799,3561;5830220,605;580;689776,8345;5830219,227;579,1
102;689799,3561;5830220,605;580;689799,3591;5830237,233;577,2
103;689799,3561;5830220,605;580;689772,4495;5830239,237;578,3
104;689796,0275;5830232,142;578,8;689781,8435;5830228,37;580,4
105;689796,0275;5830232,142;578,8;689799,3561;5830220,605;580
106;689796,0275;5830232,142;578,8;689799,0441;5830207,588;581
107;689796,0275;5830232,142;578,8;689811,5739;5830210,551;577,5
108;689796,0275;5830232,142;578,8;689822,6277;5830245,156;573,4
109;689796,0275;5830232,142;578,8;689776,8345;5830219,227;579,1
110;689796,0275;5830232,142;578,8;689810,1994;5830244;575,2
