ID;DistanciaMinimaDijkstra;NodoInicioOptimoDijkstra;CaminoOptimoDijkstra;DistanciaMinimaAStar;NodoInicioOptimoAStar;CaminoOptimoAStar;DistanciaMinimaBellmanFord;NodoInicioOptimoBellmanFord;CaminoOptimoBellmanFord
0;269239,87148338015;52;52->0;269239,87148338015;52;52->0;269239,87148338015;52;52->0
1;269252,0083685451;52;52->1;269252,0083685451;52;52->1;269252,0083685451;52;52->1
2;269279,74886496045;52;52->2;269279,74886496045;52;52->2;269279,74886496045;52;52->2
3;269297,6973617854;52;52->3;269297,6973617854;52;52->3;269297,6973617854;52;52->3
4;269312,73032318667;52;52->4;269312,73032318667;52;52->4;269312,73032318667;52;52->4
