ID;CoordXInicio;CoordYInicio;CoordZInicio;CoordXFin;CoordYFin;CoordZFin
100;661765,1696;5687570,671;263,8277236;661764,9317;5687596,861;260,5207707
101;661764,9317;5687596,861;260,5207707;661765,9258;5687608,742;255,0255311
102;661773,315;5687520,529;255,17;661765,1696;5687570,671;263,8277236
103;661765,1696;5687570,671;263,8277236;661760,0747;5687593,301;260,86018
104;661760,0747;5687593,301;260,86018;661759,4844;5687599,408;259,2890833
105;661759,4844;5687599,408;259,2890833;661754,1959;5687611,614;255,63419
106;661754,1959;5687611,614;255,63419;661757,8609;5687618,608;253,694385
107;661773,315;5687520,529;255,17;661765,1696;5687570,671;263,8277236
108;661765,1696;5687570,671;263,8277236;661760,0747;5687593,301;260,86018
109;661760,0747;5687593,301;260,86018;661759,4844;5687599,408;259,2890833
110;661759,4844;5687599,408;259,2890833;661754,1959;5687611,614;255,63419
111;661754,1959;5687611,614;255,63419;661750,9595;5687619,785;252,5476425
112;661773,315;5687520,529;255,17;661765,1696;5687570,671;263,8277236
113;661765,1696;5687570,671;263,8277236;661760,0747;5687593,301;260,86018
114;661760,0747;5687593,301;260,86018;661759,4844;5687599,408;259,2890833
115;661759,4844;5687599,408;259,2890833;661754,1959;5687611,614;255,63419
116;661754,1959;5687611,614;255,63419;661748,8247;5687623,578;252,1759775
117;661773,315;5687520,529;255,17;661765,1696;5687570,671;263,8277236
118;661765,1696;5687570,671;263,8277236;661760,0747;5687593,301;260,86018
119;661760,0747;5687593,301;260,86018;661759,4844;5687599,408;259,2890833
120;661759,4844;5687599,408;259,2890833;661754,1959;5687611,614;255,63419
121;661754,1959;5687611,614;255,63419;661750,9595;5687619,785;252,5476425
122;661750,9595;5687619,785;252,5476425;661748,8209;5687631,253;250,546892
123;661773,315;5687520,529;255,17;661765,1696;5687570,671;263,8277236
124;661765,1696;5687570,671;263,8277236;661760,0747;5687593,301;260,86018
125;661760,0747;5687593,301;260,86018;661759,4844;5687599,408;259,2890833
126;661759,4844;5687599,408;259,2890833;661754,1959;5687611,614;255,63419
127;661754,1959;5687611,614;255,63419;661750,9595;5687619,785;252,5476425
128;661750,9595;5687619,785;252,5476425;661754,6551;5687634,422;250,6732255
129;661773,315;5687520,529;255,17;661765,1696;5687570,671;263,8277236
130;661765,1696;5687570,671;263,8277236;661764,9317;5687596,861;260,5207707
131;661764,9317;5687596,861;260,5207707;661765,9258;5687608,742;255,0255311
132;661765,9258;5687608,742;255,0255311;661764,1195;5687621,932;254,81747
133;661764,1195;5687621,932;254,81747;661756,4342;5687635,239;250,79813
134;661773,315;5687520,529;255,17;661765,1696;5687570,671;263,8277236
135;661765,1696;5687570,671;263,8277236;661760,0747;5687593,301;260,86018
136;661760,0747;5687593,301;260,86018;661759,4844;5687599,408;259,2890833
137;661759,4844;5687599,408;259,2890833;661754,1959;5687611,614;255,63419
138;661754,1959;5687611,614;255,63419;661750,9595;5687619,785;252,5476425
139;661750,9595;5687619,785;252,5476425;661754,1508;5687641,29;248,5033364
140;661773,315;5687520,529;255,17;661765,1696;5687570,671;263,8277236
141;661765,1696;5687570,671;263,8277236;661764,9317;5687596,861;260,5207707
142;661764,9317;5687596,861;260,5207707;661765,9258;5687608,742;255,0255311
143;661765,9258;5687608,742;255,0255311;661755,4336;5687645,539;248,8703367
144;661773,315;5687520,529;255,17;661765,1696;5687570,671;263,8277236
145;661765,1696;5687570,671;263,8277236;661764,9317;5687596,861;260,5207707
146;661764,9317;5687596,861;260,5207707;661765,9258;5687608,742;255,0255311
147;661765,9258;5687608,742;255,0255311;661764,1195;5687621,932;254,81747
148;661773,315;5687520,529;255,17;661765,1696;5687570,671;263,8277236
149;661765,1696;5687570,671;263,8277236;661764,9317;5687596,861;260,5207707
150;661764,9317;5687596,861;260,5207707;661768,3028;5687624,139;252,9364087
