ID;DistanciaMinimaDijkstra;NodoInicioOptimoDijkstra;CaminoOptimoDijkstra;DistanciaMinimaAStar;NodoInicioOptimoAStar;CaminoOptimoAStar;DistanciaMinimaBellmanFord;NodoInicioOptimoBellmanFord;CaminoOptimoBellmanFord
0;17,777044101944153;91;91->0;17,777044101944153;91;91->0;17,777044101944153;91;91->0
1;24,014658686997546;91;91->1;24,014658686997546;91;91->1;24,014658686997546;91;91->1
2;30,567891854605875;91;91->4->2;30,567891854605875;91;91->4->2;30,567891854605875;91;91->4->2
3;39,50780541435745;91;91->4->3;39,50780541435745;91;91->4->3;39,50780541435745;91;91->4->3
4;11,827441950605241;91;91->4;11,827441950605241;91;91->4;11,827441950605241;91;91->4
5;16,864305771723608;91;91->5;16,864305771723608;91;91->5;16,864305771723608;91;91->5
6;26,657219141221393;91;91->6;26,657219141221393;91;91->6;26,657219141221393;91;91->6
7;37,36475271785473;91;91->5->7;37,36475271785473;91;91->5->7;37,36475271785473;91;91->5->7
8;26,122157039023847;91;91->8;26,122157039023847;91;91->8;26,122157039023847;91;91->8
9;44,83358785244147;91;91->5->9;44,83358785244147;91;91->5->9;44,83358785244147;91;91->5->9
10;46,93930669053799;91;91->5->10;46,93930669053799;91;91->5->10;46,93930669053799;91;91->5->10
11;11,538867380171657;90;90->11;11,538867380171657;90;90->11;11,538867380171657;90;90->11
12;22,658654413397386;90;90->12;22,658654413397386;90;90->12;22,658654413397386;90;90->12
13;34,72604630019573;90;90->12->13;34,72604630019573;90;90->12->13;34,72604630019573;90;90->12->13
14;39,52075371880361;90;90->12->14;39,52075371880361;90;90->12->14;39,52075371880361;90;90->12->14
15;14,47410992378668;89;89->15;14,47410992378668;89;89->15;14,47410992378668;89;89->15
16;25,464004796042964;89;89->16;25,464004796042964;89;89->16;25,464004796042964;89;89->16
17;50,29832349918909;91;91->5->17;50,29832349918909;91;91->5->17;50,29832349918909;91;91->5->17
18;53,07687202749847;91;91->6->18;53,07687202749847;91;91->6->18;53,07687202749847;91;91->6->18
19;54,09503492770776;91;91->8->19;54,09503492770776;91;91->8->19;54,09503492770776;91;91->8->19
20;54,83765338872976;91;91->8->20;54,83765338872976;91;91->8->20;54,83765338872976;91;91->8->20
21;59,79185115028802;90;90->12->14->21;59,79185115028802;90;90->12->14->21;59,79185115028802;90;90->12->14->21
22;39,081260347305985;91;91->5->22;39,081260347305985;91;91->5->22;39,081260347305985;91;91->5->22
23;82,0402165822876;91;91->5->22->23;82,0402165822876;91;91->5->22->23;82,0402165822876;91;91->5->22->23
24;100,03642020786617;91;91->5->22->24;100,03642020786617;91;91->5->22->24;100,03642020786617;91;91->5->22->24
25;99,2710833766298;91;91->5->22->27->25;99,2710833766298;91;91->5->22->27->25;99,2710833766298;91;91->5->22->27->25
26;76,02889027388665;91;91->6->18->31->26;76,02889027388665;91;91->6->18->31->26;76,02889027388665;91;91->6->18->31->26
27;81,92133901920639;91;91->5->22->27;81,92133901920639;91;91->5->22->27;81,92133901920639;91;91->5->22->27
28;102,4123271877956;91;91->5->48->28;102,4123271877956;91;91->5->48->28;102,4123271877956;91;91->5->48->28
29;92,63560644251868;91;91->5->22->27->29;92,63560644251868;91;91->5->22->27->29;92,63560644251868;91;91->5->22->27->29
30;58,80729151997115;91;91->4->2->30;58,80729151997115;91;91->4->2->30;58,80729151997115;91;91->4->2->30
31;65,74658402449379;91;91->6->18->31;65,74658402449379;91;91->6->18->31;65,74658402449379;91;91->6->18->31
32;66,11848618525168;91;91->4->2->30->32;66,11848618525168;91;91->4->2->30->32;66,11848618525168;91;91->4->2->30->32
33;73,32998757404955;91;91->4->2->30->33;73,32998757404955;91;91->4->2->30->33;73,32998757404955;91;91->4->2->30->33
34;72,9718502268475;91;91->4->2->30->34;72,9718502268475;91;91->4->2->30->34;72,9718502268475;91;91->4->2->30->34
35;78,67426290554062;91;91->4->2->30->32->35;78,67426290554062;91;91->4->2->30->32->35;78,67426290554062;91;91->4->2->30->32->35
36;84,62399881914479;91;91->4->2->30->33->36;84,62399881914479;91;91->4->2->30->33->36;84,62399881914479;91;91->4->2->30->33->36
37;90,16662052002265;91;91->4->2->30->32->37;90,16662052002265;91;91->4->2->30->32->37;90,16662052002265;91;91->4->2->30->32->37
38;96,52116059515447;91;91->5->48->38;96,52116059515447;91;91->5->48->38;96,52116059515447;91;91->5->48->38
39;32,72323074731478;89;89->39;32,72323074731478;89;89->39;32,72323074731478;89;89->39
40;40,66700233793172;89;89->15->40;40,66700233793172;89;89->15->40;40,66700233793172;89;89->15->40
41;15,047031467737694;89;89->41;15,047031467737694;89;89->41;15,047031467737694;89;89->41
42;51,199323983293375;89;89->15->40->42;51,199323983293375;89;89->15->40->42;51,199323983293375;89;89->15->40->42
43;48,96931197465935;89;89->39->43;48,96931197465935;89;89->39->43;48,96931197465935;89;89->39->43
44;34,49584030274837;88;88->44;34,49584030274837;88;88->44;34,49584030274837;88;88->44
45;24,73220601236298;88;88->45;24,73220601236298;88;88->45;24,73220601236298;88;88->45
46;35,289576722370114;88;88->46;35,289576722370114;88;88->46;35,289576722370114;88;88->46
47;38,07765512058479;88;88->47;38,07765512058479;88;88->47;38,07765512058479;88;88->47
48;36,58081106961132;91;91->5->48;36,58081106961132;91;91->5->48;36,58081106961132;91;91->5->48
49;111,32827947504438;91;91->5->48->49;111,32827947504438;91;91->5->48->49;111,32827947504438;91;91->5->48->49
