ID;CoordXInicio;CoordYInicio;CoordZInicio;CoordXFin;CoordYFin;CoordZFin
0;661773,315;5687520,529;255,17;661764,6174;5687550,402;267,9136557
1;661773,315;5687520,529;255,17;661763,063;5687560,533;266,8841289
2;661773,315;5687520,529;255,17;661756,3094;5687559,078;271,3331829
3;661773,315;5687520,529;255,17;661761,491;5687566,576;264,7319629
4;661773,315;5687520,529;255,17;661752,9757;5687564,451;270,30494
5;661773,315;5687520,529;255,17;661765,1696;5687570,671;263,8277236
6;661773,315;5687520,529;255,17;661737,6372;5687559,472;269,4871641
7;661773,315;5687520,529;255,17;661746,056;5687566,727;268,2733267
8;661784,957;5687517,883;254,19;661764,6174;5687550,402;267,9136557
9;661784,957;5687517,883;254,19;661763,063;5687560,533;266,8841289
10;661784,957;5687517,883;254,19;661756,3094;5687559,078;271,3331829
11;661784,957;5687517,883;254,19;661761,491;5687566,576;264,7319629
12;661784,957;5687517,883;254,19;661765,1696;5687570,671;263,8277236
13;661784,957;5687517,883;254,19;661752,9757;5687564,451;270,30494
14;661784,957;5687517,883;254,19;661759,9792;5687575,626;263,5752774
15;661784,957;5687517,883;254,19;661746,056;5687566,727;268,2733267
16;661785,75;5687501,479;257,72;661764,6174;5687550,402;267,9136557
17;661785,75;5687501,479;257,72;661763,063;5687560,533;266,8841289
18;661785,75;5687501,479;257,72;661756,3094;5687559,078;271,3331829
19;661785,75;5687501,479;257,72;661761,491;5687566,576;264,7319629
20;661785,75;5687501,479;257,72;661752,9757;5687564,451;270,30494
21;661785,75;5687501,479;257,72;661765,1696;5687570,671;263,8277236
22;661785,75;5687501,479;257,72;661737,6372;5687559,472;269,4871641
23;661785,75;5687501,479;257,72;661746,056;5687566,727;268,2733267
