FID;ID_OK;Ciclo;Coord_x;Coord_y;Coord_z
1;1;11;791248,722;5923699,399;663,4
2;2;12;791276,198;5923698,164;665,8
3;3;13;791314,172;5923708,970;664,8
4;4;14;791363,259;5923702,487;671,6
5;5;15;791401,232;5923698,782;673,3
