ID_OK;Coord_x;Coord_y;Coord_z
1;689773,9932;5830182,612;580,7
2;689789,3687;5830178,845;584,7
3;689808,4618;5830178,952;584,6
4;689810,5042;5830196,711;581,6
5;689790,642;5830199,864;582,7
6;689778,2091;5830202,505;580,8
7;689756,6786;5830192,39;575,6
